Country,Clicks,Impressions,CTR,Position
Morocco,817,12448,6.56%,5.91
France,47,11290,0.42%,13.68
United States,18,2265,0.79%,12.05
Canada,11,386,2.85%,30.75
Belgium,8,1073,0.75%,7.23
Germany,5,136,3.68%,18.93
Switzerland,4,529,0.76%,8.3
Portugal,4,46,8.7%,8.3
Spain,3,122,2.46%,15.54
Côte d’Ivoire,3,66,4.55%,5.18
Luxembourg,3,54,5.56%,5.94
Philippines,3,42,7.14%,10.79
Algeria,2,457,0.44%,7.35
Tunisia,2,362,0.55%,7.63
United Kingdom,2,139,1.44%,27.59
India,2,104,1.92%,22.13
Netherlands,2,60,3.33%,19.7
Turkey,2,55,3.64%,16.58
Senegal,2,32,6.25%,6.5
Lebanon,2,22,9.09%,8.77
Mali,2,20,10%,4.25
Mauritania,2,15,13.33%,4.67
Nigeria,2,15,13.33%,12.87
Togo,2,13,15.38%,6.23
Italy,1,69,1.45%,18.42
Vietnam,1,41,2.44%,39.17
Colombia,1,34,2.94%,12.09
Indonesia,1,31,3.23%,28.35
Mexico,1,29,3.45%,31.97
United Arab Emirates,1,25,4%,15.8
Greece,1,20,5%,22.3
Saudi Arabia,1,20,5%,23.1
Poland,1,18,5.56%,12.39
South Africa,1,17,5.88%,22.53
Ireland,1,16,6.25%,24.69
Austria,1,15,6.67%,8.73
Israel,1,14,7.14%,11.64
Sweden,1,13,7.69%,16.31
Bangladesh,1,13,7.69%,17.46
Haiti,1,9,11.11%,5.89
Burkina Faso,1,9,11.11%,6.44
Namibia,1,2,50%,23
Zambia,1,1,100%,32
Brazil,0,204,0%,40.28
Russia,0,65,0%,39.51
South Korea,0,47,0%,41.45
Réunion,0,36,0%,8.31
Malaysia,0,36,0%,15.86
Egypt,0,31,0%,16.77
Australia,0,31,0%,19.94
Ukraine,0,29,0%,29.31
Argentina,0,22,0%,27.59
Singapore,0,20,0%,24.65
Taiwan,0,19,0%,22.95
Japan,0,18,0%,27.11
China,0,17,0%,48.06
Uzbekistan,0,16,0%,10.75
Congo - Kinshasa,0,13,0%,4.77
Madagascar,0,13,0%,5.31
Azerbaijan,0,13,0%,6.15
Romania,0,13,0%,13.38
Denmark,0,12,0%,18.5
Pakistan,0,12,0%,30.17
Western Sahara,0,11,0%,4.09
Benin,0,11,0%,4.82
Thailand,0,11,0%,22.36
Hong Kong,0,11,0%,32.73
Cameroon,0,10,0%,6.7
Venezuela,0,10,0%,23.4
Qatar,0,9,0%,5.22
Kenya,0,9,0%,16.89
Ecuador,0,9,0%,24.11
Iraq,0,9,0%,31.89
Gabon,0,8,0%,8
Czechia,0,8,0%,15.38
Jordan,0,7,0%,5.29
Congo - Brazzaville,0,7,0%,7.14
Norway,0,7,0%,8
Peru,0,7,0%,28.29
Trinidad & Tobago,0,7,0%,40.43
Dominican Republic,0,7,0%,59.14
Unknown Region,0,6,0%,8.5
French Guiana,0,6,0%,9.17
Slovakia,0,6,0%,15
Hungary,0,6,0%,17.83
Nepal,0,6,0%,22
Belarus,0,6,0%,65.33
Malta,0,5,0%,8
Cyprus,0,5,0%,22.6
New Zealand,0,5,0%,26.4
Puerto Rico,0,4,0%,6.5
French Polynesia,0,4,0%,6.75
Honduras,0,4,0%,7.75
Bulgaria,0,4,0%,8
Guadeloupe,0,4,0%,8
Finland,0,4,0%,10.75
Estonia,0,4,0%,11
Sri Lanka,0,4,0%,16
Iran,0,4,0%,17
Slovenia,0,4,0%,18.25
Croatia,0,4,0%,19.25
Palestine,0,3,0%,1
Barbados,0,3,0%,4
New Caledonia,0,3,0%,6.33
Ghana,0,3,0%,6.67
Libya,0,3,0%,7
Niger,0,3,0%,8.67
Jamaica,0,3,0%,19.67
Albania,0,3,0%,26.67
Oman,0,3,0%,59
Bolivia,0,2,0%,4
Guinea,0,2,0%,4
Rwanda,0,2,0%,6
Lithuania,0,2,0%,6.5
Malawi,0,2,0%,6.5
Andorra,0,2,0%,8
Montenegro,0,2,0%,13.5
Martinique,0,2,0%,14.5
Chile,0,2,0%,19.5
Serbia,0,2,0%,19.5
Paraguay,0,2,0%,29
Guatemala,0,2,0%,41.5
Moldova,0,1,0%,1
Chad,0,1,0%,1
Guinea-Bissau,0,1,0%,2
Bahamas,0,1,0%,5
Guyana,0,1,0%,5
Macedonia,0,1,0%,5
Angola,0,1,0%,6
American Samoa,0,1,0%,6
Burundi,0,1,0%,6
Costa Rica,0,1,0%,6
Kazakhstan,0,1,0%,6
Syria,0,1,0%,7
St. Barthélemy,0,1,0%,8
Uruguay,0,1,0%,8
Uganda,0,1,0%,9
Cuba,0,1,0%,10
Tanzania,0,1,0%,10
Gambia,0,1,0%,17
Iceland,0,1,0%,55
Grenada,0,1,0%,64
Latvia,0,1,0%,67
Kuwait,0,1,0%,71
Georgia,0,1,0%,72
St. Lucia,0,1,0%,77
Cayman Islands,0,1,0%,83
Seychelles,0,1,0%,93